ADM3_PCODE,anio_sat,viirs,m2_auo,edi,crts,dt,ct,edu,ndvi,mndwi,area,provincia_sat,canton_sat,parroquia_sat,sat_personas,sat_no_pobres,sat_pobres,sat_pobreza_pct,elec_v1_sufragantes,elec_v1_votos_validos,elec_v1_nulos,elec_v1_blancos,elec_v1_nulos_pct,elec_v1_blancos_pct,elec_v1_centro,elec_v1_centro_con_tinte_institucionalista,elec_v1_centro_pragmatico,elec_v1_centro_derecha_moderado,elec_v1_centro_izquierda_libertaria,elec_v1_daniel_noboa_azin_derecha_liberal_moderada,elec_v1_derecha_autoritaria,elec_v1_derecha_autoritaria_dura,elec_v1_derecha_autoritaria_moderada,elec_v1_derecha_liberal,elec_v1_derecha_moderada,elec_v1_izquierda_autoritaria,elec_v1_izquierda_libertaria,elec_v1_luisa_gonzalez_izquierda_autoritaria,elec_v2_sufragantes,elec_v2_votos_validos,elec_v2_nulos,elec_v2_blancos,elec_v2_nulos_pct,elec_v2_blancos_pct,elec_v2_daniel_noboa_azin_derecha_liberal_moderada,elec_v2_luisa_gonzalez_izquierda_autoritaria,elec_v1_f_sufragantes,elec_v1_f_votos_validos,elec_v1_f_nulos,elec_v1_f_blancos,elec_v1_f_nulos_pct,elec_v1_f_blancos_pct,elec_v1_f_centro,elec_v1_f_centro_con_tinte_institucionalista,elec_v1_f_centro_pragmatico,elec_v1_f_centro_derecha_moderado,elec_v1_f_centro_izquierda_libertaria,elec_v1_f_daniel_noboa_azin_derecha_liberal_moderada,elec_v1_f_derecha_autoritaria,elec_v1_f_derecha_autoritaria_dura,elec_v1_f_derecha_autoritaria_moderada,elec_v1_f_derecha_liberal,elec_v1_f_derecha_moderada,elec_v1_f_izquierda_autoritaria,elec_v1_f_izquierda_libertaria,elec_v1_f_luisa_gonzalez_izquierda_autoritaria,elec_v1_m_sufragantes,elec_v1_m_votos_validos,elec_v1_m_nulos,elec_v1_m_blancos,elec_v1_m_nulos_pct,elec_v1_m_blancos_pct,elec_v1_m_centro,elec_v1_m_centro_con_tinte_institucionalista,elec_v1_m_centro_pragmatico,elec_v1_m_centro_derecha_moderado,elec_v1_m_centro_izquierda_libertaria,elec_v1_m_daniel_noboa_azin_derecha_liberal_moderada,elec_v1_m_derecha_autoritaria,elec_v1_m_derecha_autoritaria_dura,elec_v1_m_derecha_autoritaria_moderada,elec_v1_m_derecha_liberal,elec_v1_m_derecha_moderada,elec_v1_m_izquierda_autoritaria,elec_v1_m_izquierda_libertaria,elec_v1_m_luisa_gonzalez_izquierda_autoritaria,elec_v2_f_sufragantes,elec_v2_f_votos_validos,elec_v2_f_nulos,elec_v2_f_blancos,elec_v2_f_nulos_pct,elec_v2_f_blancos_pct,elec_v2_f_daniel_noboa_azin_derecha_liberal_moderada,elec_v2_f_luisa_gonzalez_izquierda_autoritaria,elec_v2_m_sufragantes,elec_v2_m_votos_validos,elec_v2_m_nulos,elec_v2_m_blancos,elec_v2_m_nulos_pct,elec_v2_m_blancos_pct,elec_v2_m_daniel_noboa_azin_derecha_liberal_moderada,elec_v2_m_luisa_gonzalez_izquierda_autoritaria,elec_v1_noboa_minus_luisa,elec_v2_noboa_minus_luisa,elec_v1_f_noboa_minus_luisa,elec_v1_m_noboa_minus_luisa,elec_v2_f_noboa_minus_luisa,elec_v2_m_noboa_minus_luisa,target_v2_noboa_win,provincia_censo,canton_censo,parroquia_censo,censo_personas,censo_hombres,censo_mujeres,censo_hombres_pct,censo_mujeres_pct,censo_edad_85_o_mas_pct,censo_edad_de_0_4_pct,censo_edad_de_10_14_pct,censo_edad_de_15_19_pct,censo_edad_de_20_24_pct,censo_edad_de_25_29_pct,censo_edad_de_30_34_pct,censo_edad_de_35_39_pct,censo_edad_de_40_44_pct,censo_edad_de_45_49_pct,censo_edad_de_50_54_pct,censo_edad_de_55_59_pct,censo_edad_de_5_9_pct,censo_edad_de_60_64_pct,censo_edad_de_65_69_pct,censo_edad_de_70_74_pct,censo_edad_de_75_79_pct,censo_edad_de_80_84_pct,censo_nbi_personas_viviendas_particulares,censo_nbi_pobres,censo_nbi_no_pobres,censo_nbi_pobreza_pct,censo_personas_minus_sat_personas,censo_nbi_personas_minus_sat_personas,censo_nbi_pobres_minus_sat_pobres,pc_centro,pc_centro_derecha,pc_centro_izquierda,pc_derecha_liberal,pc_derecha_autoritaria,pc_izquierda_autoritaria,pc_izquierda_libertaria,pc_derecha_total,pc_izquierda_total,pc_liberal_total,pc_autoritaria_total,pc_economic_right_minus_left,pc_social_authoritarian_minus_libertarian,log_sat_personas,log_censo_personas,log_censo_nbi_personas_viviendas_particulares,cluster
EC010155,2022,2.048737157501305,1068971.65379902,0,209,0.0005292148851353,11.0,3,0.4830851967722609,-0.3923924263615594,93456152.00849952,Azuay,Cuenca,Chiquintad,5738,3910,1828,0.3185779017079121,2947.0,2591.0,270.0,84.0,0.0916185951815405,0.0285035629453681,0.0434340006786562,0.003053953172718,0.00339328130302,0.002375296912114,0.005429250084832,0.3898880217170003,0.003562945368171,0.003053953172718,0.002035968781812,0.005429250084832,0.002035968781812,0.005429250084832,0.0743128605361384,0.3267729894808279,2977.0,2646.0,309.0,22.0,0.103795767551226,0.007389989922741,0.579106483036614,0.3097077594894188,1658.0,1438.0,169.0,49.0,0.1019300361881785,0.0295536791314837,0.0464414957780458,0.0036188178528347,0.0042219541616405,0.0024125452352231,0.0060313630880579,0.3745476477683956,0.008443908323281,0.0036188178528347,0.0006031363088057,0.0054282267792521,0.0024125452352231,0.008443908323281,0.0759951749095295,0.3250904704463209,1289.0,1153.0,101.0,35.0,0.0783553141970519,0.0271528316524437,0.0395655546935609,0.0023273855702094,0.0023273855702094,0.0023273855702094,0.0046547711404189,0.4096198603568657,0.0054305663304887,0.0023273855702094,0.0038789759503491,0.0054305663304887,0.0015515903801396,0.0139643134212567,0.0721489526764934,0.3289371605896043,1659.0,1460.0,187.0,12.0,0.1127185051235684,0.0072332730560578,0.568414707655214,0.3116335141651597,1318.0,1186.0,122.0,10.0,0.0925644916540212,0.007587253414264,0.5925644916540213,0.3072837632776934,0.0631150322361724,0.2693987235471952,0.0494571773220747,0.0806826997672613,0.2567811934900542,0.2852807283763278,1.0,Azuay,Cuenca,Chiquintad,5738.0,2683.0,3055.0,0.4675845242244684,0.5324154757755315,0.0160334611362844,0.0636110142906936,0.09149529452771,0.0939351690484489,0.0873126524921575,0.0808644126873475,0.0693621470895782,0.0723248518647612,0.0676193795747647,0.0538515162077378,0.0425235273614499,0.0360752875566399,0.0850470547228999,0.0352039037992331,0.0322411990240501,0.0263157894736842,0.027710003485535,0.0184733356570233,5738.0,1828.0,3910.0,0.3185779017079121,0.0,0.0,0.0,0.0498812351543942,0.002375296912114,0.005429250084832,0.39531727180183235,0.010688836104512999,0.3322022395656599,0.0743128605361384,0.40838140481845936,0.41194435018663034,0.47505938242280277,0.3428910756701729,-0.0035629453681709777,-0.13216830675262986,8.655040258108363,8.655040258108363,8.655040258108363,2
EC010360,2022,2.771701960203879,340400.4865196078,0,35,0.0019646139485673,1.0,0,0.4573374713121645,-0.3517591443236809,11936682.84136726,Azuay,Gualaceo,Simón Bolívar,732,349,383,0.523224043715847,439.0,380.0,42.0,17.0,0.0956719817767653,0.0387243735763098,0.0455580865603644,0.0045558086560364,0.0,0.0045558086560364,0.0022779043280182,0.2687927107061503,0.0068337129840546,0.0045558086560364,0.0068337129840546,0.0022779043280182,0.0045558086560364,0.0056947608200455,0.0842824601366742,0.4123006833712984,443.0,401.0,40.0,2.0,0.0902934537246049,0.0045146726862302,0.5124153498871332,0.3927765237020316,251.0,219.0,22.0,10.0,0.0876494023904382,0.0398406374501992,0.047808764940239,0.0039840637450199,0.0,0.0079681274900398,0.0,0.2868525896414343,0.0119521912350597,0.0039840637450199,0.0079681274900398,0.0039840637450199,0.0,0.0079681274900398,0.0677290836653386,0.4223107569721115,188.0,161.0,20.0,7.0,0.1063829787234042,0.0372340425531914,0.0425531914893617,0.0053191489361702,0.0,0.0,0.0053191489361702,0.2446808510638297,0.0159574468085106,0.0053191489361702,0.0053191489361702,0.0,0.0106382978723404,0.0159574468085106,0.1063829787234042,0.3989361702127659,254.0,231.0,22.0,1.0,0.0866141732283464,0.0039370078740157,0.5236220472440944,0.3858267716535433,189.0,170.0,18.0,1.0,0.0952380952380952,0.0052910052910052,0.4973544973544973,0.4021164021164021,-0.1435079726651481,0.1196388261851016,-0.1354581673306772,-0.1542553191489362,0.1377952755905511,0.0952380952380952,1.0,Azuay,Gualaceo,Simón Bolívar,732.0,312.0,420.0,0.4262295081967213,0.5737704918032787,0.0464480874316939,0.0683060109289617,0.0942622950819672,0.0710382513661202,0.0792349726775956,0.064207650273224,0.0532786885245901,0.0505464480874316,0.0519125683060109,0.0464480874316939,0.0450819672131147,0.0368852459016393,0.0778688524590164,0.0437158469945355,0.0437158469945355,0.0478142076502732,0.0505464480874316,0.0286885245901639,732.0,383.0,349.0,0.523224043715847,0.0,0.0,0.0,0.0501138952164008,0.0045558086560364,0.0022779043280182,0.2710706150341685,0.022779043280182,0.4179954441913439,0.0842824601366742,0.2984054669703869,0.5045558086560363,0.3576309794988609,0.44077448747152587,-0.20615034168564944,0.08314350797266495,6.597145701886651,6.597145701886651,6.597145701886651,4
EC010451,2022,0.9992756903010844,2974884.109375,0,154,0.0003434609220983,4.0,0,0.4322843728010275,-0.3660514104078095,110450574.8851817,Azuay,Nabón,Cochapata,2981,820,2161,0.7249245219724925,1648.0,1461.0,146.0,41.0,0.0885922330097087,0.024878640776699,0.0273058252427184,0.0024271844660194,0.0012135922330097,0.0018203883495145,0.0024271844660194,0.2032766990291262,0.0036407766990291,0.0012135922330097,0.0012135922330097,0.0006067961165048,0.0042475728155339,0.0039441747572815,0.2536407766990291,0.3719660194174757,1692.0,1510.0,169.0,13.0,0.0998817966903073,0.0076832151300236,0.4710401891252955,0.4213947990543735,850.0,750.0,79.0,21.0,0.0929411764705882,0.0247058823529411,0.028235294117647,0.0023529411764705,0.0,0.0023529411764705,0.0011764705882352,0.1894117647058823,0.0105882352941176,0.0011764705882352,0.0011764705882352,0.0011764705882352,0.0047058823529411,0.0047058823529411,0.2576470588235294,0.3776470588235294,798.0,711.0,67.0,20.0,0.0839598997493734,0.025062656641604,0.0263157894736842,0.0025062656641604,0.0025062656641604,0.0012531328320802,0.0037593984962406,0.2180451127819548,0.0037593984962406,0.0012531328320802,0.0012531328320802,0.0,0.0037593984962406,0.0112781954887218,0.2493734335839598,0.3659147869674185,877.0,766.0,103.0,8.0,0.1174458380843785,0.0091220068415051,0.4595210946408209,0.4139110604332953,815.0,744.0,66.0,5.0,0.0809815950920245,0.0061349693251533,0.4834355828220859,0.4294478527607362,-0.1686893203883495,0.049645390070922,-0.188235294117647,-0.1478696741854637,0.0456100342075256,0.0539877300613496,1.0,Azuay,Nabón,Cochapata,2981.0,1352.0,1629.0,0.4535390808453539,0.5464609191546461,0.0238175109023817,0.077490774907749,0.0932572962093257,0.1036564911103656,0.0868835961086883,0.0667561221066756,0.0563569272056356,0.0489768534048976,0.051660516605166,0.0446159007044615,0.0472995639047299,0.0365649111036564,0.0781616907078161,0.0412613217041261,0.0422676954042267,0.0446159007044615,0.0308621268030862,0.0254948004025494,2981.0,2161.0,820.0,0.7249245219724925,0.0,0.0,0.0,0.0309466019417475,0.0018203883495145,0.0024271844660194,0.203883495145631,0.010315533980582398,0.3759101941747572,0.2536407766990291,0.21601941747572792,0.6319781553398057,0.4599514563106796,0.38622572815533956,-0.4159587378640778,-0.07372572815534001,8.000349495324684,8.000349495324684,8.000349495324684,4
EC010556,2022,1.47631856185423,248062.21875,0,67,0.0008872322756329,2.0,2,0.5259413382812163,-0.2929003711662216,36106582.50043475,Azuay,Paute,Guarainag,701,389,312,0.4450784593437946,651.0,585.0,47.0,17.0,0.0721966205837173,0.0261136712749615,0.0245775729646697,0.0,0.0,0.0046082949308755,0.0030721966205837,0.3594470046082949,0.0030721966205837,0.0030721966205837,0.0030721966205837,0.0030721966205837,0.0015360983102918,0.0015360983102918,0.0721966205837173,0.4147465437788018,670.0,623.0,45.0,2.0,0.0671641791044776,0.0029850746268656,0.5194029850746269,0.4104477611940298,322.0,283.0,28.0,10.0,0.0869565217391304,0.031055900621118,0.0279503105590062,0.0,0.0,0.0031055900621118,0.0,0.3385093167701863,0.0062111801242236,0.0031055900621118,0.0062111801242236,0.0031055900621118,0.0031055900621118,0.0031055900621118,0.0652173913043478,0.4192546583850932,329.0,302.0,19.0,7.0,0.0577507598784194,0.0212765957446808,0.0212765957446808,0.0,0.0,0.0060790273556231,0.0060790273556231,0.3799392097264438,0.0060790273556231,0.0030395136778115,0.0,0.0030395136778115,0.0,0.0030395136778115,0.0790273556231003,0.4103343465045592,331.0,303.0,26.0,2.0,0.0785498489425981,0.0060422960725075,0.4954682779456193,0.4199395770392749,339.0,320.0,19.0,0.0,0.0560471976401179,0.0,0.5427728613569321,0.4011799410029498,-0.0552995391705069,0.108955223880597,-0.0807453416149068,-0.0303951367781153,0.0755287009063443,0.1415929203539823,1.0,Azuay,Paute,Guarainag,701.0,328.0,373.0,0.4679029957203994,0.5320970042796006,0.0385164051355206,0.0299572039942938,0.0713266761768901,0.0670470756062767,0.0656205420827389,0.0613409415121255,0.0513552068473609,0.035663338088445,0.0542082738944365,0.0556348074179743,0.0542082738944365,0.0456490727532097,0.0641940085592011,0.0670470756062767,0.0542082738944365,0.0713266761768901,0.0527817403708987,0.0599144079885877,701.0,312.0,389.0,0.4450784593437946,0.0,0.0,0.0,0.0245775729646697,0.0046082949308755,0.0030721966205837,0.3625192012288786,0.0107526881720429,0.4162826420890936,0.0721966205837173,0.377880184331797,0.4915514592933946,0.4377880184331796,0.4270353302611365,-0.11367127496159762,-0.010752688172043112,6.553933404025811,6.553933404025811,6.553933404025811,4
EC011152,2022,2.999581555996294,441559.6776960784,0,41,0.0015407814214383,2.0,0,0.5097692967890207,-0.3030981940058077,13675593.63826633,Azuay,Chordeleg,La Unión,1875,928,947,0.5050666666666667,695.0,577.0,85.0,33.0,0.1223021582733813,0.0474820143884892,0.0503597122302158,0.0,0.0115107913669064,0.0,0.0086330935251798,0.2503597122302158,0.0064748201438848,0.0028776978417266,0.0,0.0100719424460431,0.0014388489208633,0.0007194244604316,0.074820143884892,0.4057553956834532,706.0,633.0,59.0,14.0,0.0835694050991501,0.0198300283286118,0.5212464589235127,0.3753541076487252,399.0,327.0,52.0,20.0,0.1303258145363408,0.050125313283208,0.0476190476190476,0.0,0.012531328320802,0.0,0.012531328320802,0.2556390977443609,0.012531328320802,0.0050125313283208,0.0,0.0075187969924812,0.0,0.0,0.0802005012531328,0.3859649122807017,296.0,250.0,33.0,13.0,0.1114864864864864,0.0439189189189189,0.054054054054054,0.0,0.0101351351351351,0.0,0.0033783783783783,0.2432432432432432,0.0135135135135135,0.0,0.0,0.0135135135135135,0.0033783783783783,0.0033783783783783,0.0675675675675675,0.4324324324324324,408.0,359.0,41.0,8.0,0.1004901960784313,0.0196078431372549,0.5563725490196079,0.3235294117647059,298.0,274.0,18.0,6.0,0.0604026845637583,0.0201342281879194,0.4731543624161073,0.4463087248322148,-0.1553956834532374,0.1458923512747875,-0.1303258145363408,-0.1891891891891892,0.2328431372549019,0.0268456375838925,1.0,Azuay,Chordeleg,La Unión,1875.0,826.0,1049.0,0.4405333333333333,0.5594666666666667,0.0181333333333333,0.0981333333333333,0.1061333333333333,0.1008,0.08,0.0832,0.0709333333333333,0.0677333333333333,0.0501333333333333,0.0416,0.0384,0.0405333333333333,0.0778666666666666,0.0314666666666666,0.0256,0.0261333333333333,0.0234666666666666,0.0197333333333333,1875.0,947.0,928.0,0.5050666666666667,0.0,0.0,0.0,0.0618705035971222,0.0,0.0086330935251798,0.2604316546762589,0.0107913669064747,0.4064748201438848,0.074820143884892,0.2712230215827336,0.48992805755395663,0.3438848920863307,0.4172661870503595,-0.21870503597122304,0.07338129496402879,7.53689712956617,7.53689712956617,7.53689712956617,2
EC030352,2022,2.098159568704962,170253.0713848039,0,151,0.0005710847271364,12.0,0,0.5415896705168475,-0.4324416055453041,34332959.71245464,Cañar,Cañar,Chorocopte,2726,1620,1106,0.4057226705796038,1523.0,1351.0,125.0,46.0,0.0820748522652659,0.0302035456336178,0.0170715692711753,0.0,0.0026263952724885,0.0006565988181221,0.0013131976362442,0.2751149047931713,0.0036112934996717,0.0019697964543663,0.0013131976362442,0.0032829940906106,0.0013131976362442,0.005252790544977,0.2449113591595535,0.319763624425476,1532.0,1406.0,113.0,13.0,0.0737597911227154,0.008485639686684,0.5398172323759791,0.3779373368146214,884.0,782.0,74.0,26.0,0.083710407239819,0.0294117647058823,0.0192307692307692,0.0,0.003393665158371,0.001131221719457,0.0,0.2624434389140271,0.004524886877828,0.002262443438914,0.0,0.004524886877828,0.002262443438914,0.006787330316742,0.253393665158371,0.3246606334841629,639.0,569.0,51.0,20.0,0.0798122065727699,0.0312989045383411,0.0140845070422535,0.0,0.001564945226917,0.0,0.0031298904538341,0.2926447574334898,0.0109546165884194,0.001564945226917,0.0031298904538341,0.001564945226917,0.0,0.0156494522691705,0.2331768388106416,0.3129890453834116,888.0,807.0,70.0,11.0,0.0788288288288288,0.0123873873873873,0.5337837837837838,0.375,644.0,599.0,43.0,2.0,0.0667701863354037,0.0031055900621118,0.5481366459627329,0.3819875776397515,-0.0446487196323047,0.1618798955613577,-0.0622171945701358,-0.0203442879499218,0.1587837837837837,0.1661490683229814,1.0,Cañar,Cañar,Chorocopte,2726.0,1233.0,1493.0,0.4523110785033015,0.5476889214966985,0.0143066764490095,0.0752017608217168,0.0862068965517241,0.0880410858400587,0.0744680851063829,0.074101247248716,0.066030814380044,0.061995597945708,0.0671313279530447,0.0557593543653705,0.0513573000733675,0.0476889214966984,0.0803374908290535,0.049523110785033,0.0319148936170212,0.0267791636096845,0.0267791636096845,0.0223771093176815,2726.0,1106.0,1620.0,0.4057226705796038,0.0,0.0,0.0,0.0196979645436638,0.0006565988181221,0.0013131976362442,0.2783978988837819,0.0082074852265264,0.325016414970453,0.2449113591595535,0.2872619829284304,0.5712409717662508,0.5246224556795795,0.33322390019697945,-0.28397898883782036,-0.1913985554826001,7.910957382845589,7.910957382845589,7.910957382845589,2
EC030355,2022,3.782555589521394,761773.2550857842,0,404,0.000246362440774,17.0,0,0.5793872096722303,-0.4059570607343706,77040096.41074051,Cañar,Cañar,Honorato Vásquez,5906,3566,2340,0.3962072468675923,2934.0,2543.0,284.0,106.0,0.0967961826857532,0.0361281526925698,0.0143149284253578,0.0017041581458759,0.0027266530334014,0.0017041581458759,0.0047716428084526,0.2413087934560327,0.003749147920927,0.0013633265167007,0.0017041581458759,0.0006816632583503,0.0017041581458759,0.0035787321063394,0.2413087934560327,0.3387866394001363,2943.0,2692.0,223.0,28.0,0.0757730207271491,0.0095141012572205,0.5239551478083588,0.3907577302072715,1734.0,1487.0,188.0,58.0,0.1084198385236447,0.0334486735870818,0.0132641291810842,0.0023068050749711,0.0023068050749711,0.0017301038062283,0.0040369088811995,0.2220299884659746,0.0103806228373702,0.0017301038062283,0.0005767012687427,0.0011534025374855,0.0028835063437139,0.0063437139561707,0.2589388696655132,0.3298731257208765,1200.0,1056.0,96.0,48.0,0.08,0.04,0.0158333333333333,0.0008333333333333,0.0033333333333333,0.0016666666666666,0.0058333333333333,0.2691666666666666,0.0033333333333333,0.0008333333333333,0.0033333333333333,0.0,0.0,0.0083333333333333,0.2158333333333333,0.3516666666666667,1756.0,1580.0,156.0,20.0,0.0888382687927107,0.0113895216400911,0.5244874715261959,0.3752847380410022,1187.0,1112.0,67.0,8.0,0.0564448188711036,0.0067396798652064,0.523167649536647,0.413647851727043,-0.0974778459441036,0.1331974176010873,-0.1078431372549019,-0.0825,0.1492027334851937,0.1095197978096039,1.0,Cañar,Cañar,Honorato Vásquez,5906.0,2578.0,3328.0,0.4365052488994243,0.5634947511005757,0.0189637656620386,0.0741618692854724,0.099898408398239,0.0944801896376566,0.0761937013206908,0.0618015577378936,0.0650186251269895,0.0609549610565526,0.0538435489332881,0.0489332881815103,0.0499492041991195,0.0469014561462919,0.0868608195055875,0.0426684727395868,0.0358956992888587,0.0311547578733491,0.0294615645106671,0.0228581103962072,5906.0,2340.0,3566.0,0.3962072468675923,0.0,0.0,0.0,0.0187457396046351,0.0017041581458759,0.0047716428084526,0.24199045671438302,0.0085207907293795,0.3423653715064757,0.2413087934560327,0.2522154055896384,0.588445807770961,0.48807089297886835,0.3508861622358552,-0.3362304021813226,-0.13718473074301313,8.683893367307235,8.683893367307235,8.683893367307235,4
EC030750,2022,3.095229578076086,744321.21875,0,115,0.0006465134004873,4.0,2,0.5055881384328165,-0.3379250053455012,53309444.55034938,Cañar,Suscal,Suscal,4622,1780,2842,0.6148853310255301,3311.0,2898.0,263.0,148.0,0.0794321957112654,0.0446994865599516,0.0105708245243128,0.0015101177891875,0.0009060706735125,0.0015101177891875,0.001812141347025,0.1827242524916943,0.0036242826940501,0.0009060706735125,0.0024161884627,0.0015101177891875,0.0021141649048625,0.00120809423135,0.386288130474177,0.2733313198429477,3331.0,2979.0,301.0,51.0,0.0903632542779945,0.0153107175022515,0.5196637646352447,0.3746622635845091,1910.0,1648.0,156.0,104.0,0.081675392670157,0.0544502617801047,0.0089005235602094,0.0015706806282722,0.0010471204188481,0.0026178010471204,0.000523560209424,0.1544502617801047,0.0083769633507853,0.0015706806282722,0.0031413612565445,0.0015706806282722,0.0015706806282722,0.0026178010471204,0.4120418848167539,0.2628272251308901,1401.0,1250.0,107.0,44.0,0.0763740185581727,0.0314061384725196,0.012847965738758,0.0014275517487508,0.0007137758743754,0.0,0.0035688793718772,0.2212705210563882,0.0057102069950035,0.0,0.0014275517487508,0.0014275517487508,0.0028551034975017,0.0021413276231263,0.3511777301927195,0.2876516773733047,1936.0,1712.0,185.0,39.0,0.0955578512396694,0.0201446280991735,0.503099173553719,0.381198347107438,1395.0,1267.0,116.0,12.0,0.0831541218637992,0.0086021505376344,0.5426523297491039,0.3655913978494624,-0.0906070673512533,0.1450015010507355,-0.1083769633507853,-0.0663811563169165,0.121900826446281,0.1770609318996415,1.0,Cañar,Suscal,Suscal,4627.0,2038.0,2589.0,0.4404581802463799,0.55954181975362,0.0181543116490166,0.0799654203587637,0.0937972768532526,0.0879619623946401,0.0849362437864707,0.0695915279878971,0.0594337583747568,0.0568402852820402,0.0538145666738707,0.0507888480657013,0.0592176356170304,0.0486276204884374,0.0883942079100929,0.0414955694834666,0.0365247460557596,0.0280959585044305,0.0265830992003457,0.0157769613140263,4622.0,2842.0,1780.0,0.6148853310255301,5.0,0.0,0.0,0.012987012987012799,0.0015101177891875,0.001812141347025,0.1842343702808818,0.009060706735125101,0.27453941407429766,0.386288130474177,0.1948051948051944,0.6626396858954997,0.5723346421020837,0.28360012080942276,-0.4678344910903053,-0.288734521292661,8.438799123988225,8.439880088313567,8.438799123988225,4
EC050551,2022,6.482778824344703,124628.5568627451,0,72,0.0035530990919857,6.0,1,0.3875649664594741,-0.3241143176985614,7213677.043699504,Cotopaxi,Salcedo,Antonio José Holguín,3431,2371,1060,0.3089478286213932,1994.0,1830.0,136.0,27.0,0.0682046138415245,0.0135406218655967,0.0235707121364092,0.0010030090270812,0.0015045135406218,0.0005015045135406,0.0025075225677031,0.5145436308926781,0.0027582748244734,0.0025075225677031,0.0020060180541624,0.0010030090270812,0.0030090270812437,0.0040120361083249,0.141925777331996,0.2101303911735205,2034.0,1902.0,126.0,6.0,0.0619469026548672,0.0029498525073746,0.7064896755162242,0.2286135693215339,1099.0,1020.0,62.0,17.0,0.0564149226569608,0.0154686078252957,0.0209281164695177,0.0018198362147406,0.0,0.0,0.0036396724294813,0.532302092811647,0.0072793448589626,0.002729754322111,0.0009099181073703,0.0018198362147406,0.0018198362147406,0.005459508644222,0.1474067333939945,0.2020018198362147,895.0,810.0,74.0,10.0,0.08268156424581,0.0111731843575419,0.0268156424581005,0.0,0.0033519553072625,0.0011173184357541,0.0011173184357541,0.4927374301675977,0.0033519553072625,0.0022346368715083,0.0033519553072625,0.0,0.0044692737430167,0.0111731843575419,0.1351955307262569,0.2201117318435754,1118.0,1034.0,80.0,4.0,0.071556350626118,0.0035778175313059,0.7128801431127012,0.2119856887298747,916.0,868.0,46.0,2.0,0.0502183406113537,0.0021834061135371,0.6986899563318777,0.2489082969432314,0.3044132397191575,0.4778761061946903,0.3303002729754323,0.2726256983240223,0.5008944543828265,0.4497816593886463,1.0,Cotopaxi,Salcedo,Antonio José Holguín,3431.0,1637.0,1794.0,0.477120373069076,0.5228796269309239,0.0169046925094724,0.0728650539201399,0.0848149227630428,0.0877295249198484,0.0789857184494316,0.0649956280967647,0.0705333721946954,0.068784610900612,0.0658700087438064,0.0632468668026814,0.0530457592538618,0.0402215097639172,0.0816088603905566,0.0364325269600699,0.0323520839405421,0.0349752258816671,0.0303118624307782,0.0163217720781113,3431.0,1060.0,2371.0,0.3089478286213932,0.0,0.0,0.0,0.0260782347041122,0.0005015045135406,0.0025075225677031,0.5155466399197592,0.010280842527582601,0.2141424272818454,0.141925777331996,0.5263289869608825,0.3585757271815445,0.6599799398194583,0.224423269809428,0.16775325977933797,-0.43555667001003034,8.140898460607852,8.140898460607852,8.140898460607852,2
EC050653,2022,1.276588951949566,611504.3775735294,0,104,0.0004847232910648,5.0,12,,,62035572.676111,Cotopaxi,Saquisilí,Cochapamba,2554,53,2501,0.9792482380579484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cotopaxi,Saquisilí,Cochapamba,2554.0,1153.0,1401.0,0.4514487079091621,0.5485512920908379,0.0070477682067345,0.0747846515270164,0.1100234925606891,0.1409553641346906,0.086139389193422,0.0509005481597494,0.0328895849647611,0.0544244322631166,0.0481597494126859,0.0610806577916992,0.0485512920908379,0.0536413469068128,0.0900548159749412,0.0465935787000783,0.0348472983555207,0.0231010180109631,0.0223179326546593,0.0144870790916209,2554.0,2501.0,53.0,0.9792482380579484,0.0,0.0,0.0,,,,,,,,,,,,,,7.845807502637805,7.845807502637805,7.845807502637805,4
